"SJALL014946_D1"	"SJALL014947_D1"	"SJALL014949_D1"	"SJALL014950_D1"	"SJALL014952_D1"
"RNU6-851P"	0	0	0	0	71
"ARHGEF33"	0	0	0	0	0
"RN7SL96P"	180	0	0	0	13
"SOS1"	33	43	72	67	60
"SOS1-IT1"	85	93	398	164	245
"RNU6-198P"	0	0	0	0	0
"HSPE1P13"	1889	1580	2354	813	1066
"CDKL4"	0	2	3	1	1
"MAP4K3"	67	188	106	72	32
"MAP4K3-DT"	2	1	2	3	1
"TMEM178A"	1	1	1	2	1
"THUMPD2"	219	250	200	168	112
"SLC8A1-AS1"	0	0	1	4	1
"SLC8A1"	5	6	8	8	8
"LINC01794"	0	0	0	0	0
"HNRNPA1P57"	0	0	0	0	1
"LDHAP3"	0	9	22	18	0
"LINC01913"	0	0	0	0	0
"RNU4-63P"	0	0	0	0	32
"LINC01914"	0	0	2	0	2
"PKDCC"	0	0	0	0	17
"EML4"	118	249	101	40	63
"COX7A2L"	141	134	41	75	43
"KCNG3"	0	0	0	0	0
"VDAC1P13"	0	0	8	0	0
"MTA3"	13	10	27	13	11
"RNU6-137P"	158	257	637	749	355
"OXER1"	155	117	523	94	364
"HAAO"	15	24	56	12	33
"FTOP1"	0	12	15	8	7
"LINC01819"	0	2	3	4	0
"RNU6-242P"	479	86	1643	582	107
"LINC02580"	20	5	29	12	1
"ZFP36L2"	16195	17384	17513	13866	4455
"LINC01126"	556	1182	833	814	247
"THADA"	32	17	47	38	36
"RNU6-958P"	0	0	0	0	0
"RN7SL531P"	0	0	0	0	0
"PLEKHH2"	0	0	1	2	0
"C1GALT1C1L"	0	0	5	4	11
"RN7SKP66"	0	0	0	0	0
"DYNC2LI1"	7	8	21	14	18
"ABCG5"	0	0	0	0	0
"ABCG8"	0	0	0	0	0
"LRPPRC"	372	355	167	189	158
"RNU6-1048P"	0	0	0	0	0
"RN7SL455P"	0	0	0	0	0
"RNU6-566P"	0	0	0	0	0
"PDSS1P2"	0	0	11	0	0
"PPM1B"	117	195	114	98	46
"RPL12P19"	0	0	93	63	39
"SLC3A1"	2	0	1	0	0
"PREPL"	140	39	74	59	62
"CAMKMT"	3	1	2	1	2
"LINC01833"	1	2	1	0	0
"SIX3-AS1"	0	0	0	0	2
"SIX3"	0	4	1	0	0
"SIX2"	0	4	5	4	2
"LINC01121"	0	0	0	0	0
"SRBD1"	27	12	26	43	8
"RN7SL414P"	0	31	51	84	25
"PRKCE"	38	78	94	16	78
"EPAS1"	2	55	16	8	52
"LINC01820"	0	0	0	0	0
"LINC02583"	0	0	0	0	0
"RN7SL817P"	0	0	0	0	26
"TMEM247"	0	0	0	0	1
"ATP6V1E2"	23	4	8	14	6
"RHOQ"	229	181	76	95	140
"PIGF"	63	20	54	84	25
"CRIPT"	371	116	143	175	80
"LINC01118"	0	1	0	0	0
"SOCS5"	81	217	139	93	54
"LINC01119"	0	0	0	0	0
"MCFD2"	252	408	176	326	278
"TTC7A"	221	417	564	376	655
"STPG4"	0	1	1	0	0
"CALM2"	2678	1908	1131	1204	879
"EPCAM-DT"	0	0	0	0	0
"BCYRN1"	851	461	0	124	114
"EPCAM"	0	0	0	0	0
"RN7SKP119"	0	67	27	22	27
"MIR559"	0	0	0	0	0
"MSH2"	19	11	10	21	18
"KCNK12"	2	180	2	35	2
"MSH6"	166	228	101	437	330
"FBXO11"	254	540	230	133	149
"RPL36AP15"	703	5608	1000	163	258
"RPS27AP7"	0	0	0	0	0
"PPIAP62"	0	0	0	0	0
"RN7SKP224"	470	481	350	685	176
"FOXN2"	394	219	151	83	134
"RNU4-49P"	0	0	0	0	0
"PPP1R21"	36	19	79	52	55
"RNU6-282P"	0	0	0	0	0
"STON1"	2	0	9	2	6
"STON1-GTF2A1L"	0	0	0	0	0
"GTF2A1L"	0	0	0	0	0
"TPT1P11"	0	0	0	0	0
"LHCGR"	0	0	0	0	0
"ELOBP3"	0	0	0	0	0
"CTBP2P5"	0	0	0	0	0
"FSHR"	0	0	0	0	0
"MIR548BA"	0	0	0	0	207
"RNU6-439P"	0	0	0	0	0
"RPL7P13"	0	37	81	41	15
"NRXN1"	0	0	0	0	0
"MTCO1P42"	0	0	0	0	0
"MIR8485"	0	0	0	0	0
"KNOP1P3"	0	0	0	0	0
"CRYGGP"	0	0	0	0	0
"ZNF863P"	2	0	0	0	0
"LINC01867"	0	0	0	0	0
"FTH1P6"	0	0	0	0	0
"MIR4431"	0	0	0	0	81
"ASB3"	13	15	17	12	13
"RNU6-997P"	0	0	0	0	0
"CHAC2"	52	35	11	21	27
"ERLEC1"	92	148	86	79	64
"MIR3682"	0	2763	1004	669	641
"GPR75"	38	685	150	62	81
"PSME4"	390	1250	411	231	209
"ACYP2"	4	2	3	3	2
"HMGB1P31"	278	193	248	202	169
"RNU7-172P"	0	0	0	0	0
"TSPYL6"	0	3	2	10	2
"C2orf73"	0	0	0	0	0
"SPTBN1"	1435	1560	1097	1741	1327
"RPL23AP32"	0	0	82	525	41
"EML6"	0	0	4	1	2
"RNU7-81P"	0	0	120	0	60
"RTN4"	332	491	246	184	129
"RNU6-433P"	5101	8283	6840	2457	2178
"CLHC1"	15	12	28	62	17
"RPS27A"	52881	47325	11967	23148	8952
"MTIF2"	213	66	68	77	66
"PRORSD1P"	146	99	92	142	62
"CCDC88A"	425	613	293	286	296
"BTF3P5"	0	59	81	66	24
"RNU6-775P"	0	0	0	0	40
"RNU6-221P"	0	0	0	0	0
"RNU6-634P"	0	0	144	0	0
"CFAP36"	58	44	43	33	36
"PPP4R3B"	300	423	415	364	312
"PNPT1"	109	79	49	47	109
"EFEMP1"	161	0	0	2	0
"RN7SKP208"	0	0	0	0	0
"MIR217HG"	0	0	0	0	0
"MIR217"	0	0	0	0	0
"MIR216A"	0	0	0	0	0
"MIR216B"	0	0	0	0	0
"LINC01813"	0	0	0	0	0
"CCDC85A"	0	0	0	0	0
"RNA5SP93"	0	0	0	0	0
"PPIAP63"	0	0	0	0	14
"ACTG1P22"	250	7	11	32	0
"VRK2"	28	11	17	21	13
"FANCL"	21	32	24	29	28
"EIF3FP3"	421	388	153	312	210
"LINC01795"	0	0	0	0	0
"LINC01122"	0	0	0	0	0
"LINC01793"	0	0	0	0	0
"RNU6-508P"	0	0	0	0	0
"RNA5SP94"	0	0	0	0	0
"RNU1-32P"	0	0	0	0	0
"MIR4432"	0	552	456	74	45
"BCL11A"	163	372	316	279	213
"RN7SL361P"	0	0	0	0	0
"RNU6-612P"	0	0	0	0	0
"ATP1B3P1"	0	22	9	30	23
"PAPOLG"	72	108	94	78	69
"RN7SL632P"	0	0	0	0	28
"RPL21P33"	0	0	0	0	0
"REL"	369	1810	533	254	133
"RNU4-51P"	2438	7128	3488	1243	601
"NONOP2"	179	52	271	205	244
"PUS10"	17	6	19	13	15
"RNA5SP95"	249	0	0	0	0
"PEX13"	91	160	72	99	66
"C2orf74"	2	1	2	2	1
"AHSA2P"	1523	754	1843	2036	2029
"USP34"	203	328	398	253	208
"SNORA70B"	252	1095	1639	230	368
"XPO1"	1001	711	740	720	629
"RPS29P10"	0	0	0	0	0
"RNU6-1145P"	0	0	0	0	0
"RPS24P7"	0	262	30	25	46
"FAM161A"	15	14	14	14	14
"CCT4"	1827	1312	595	779	592
"COMMD1"	3	6	5	3	3
"RPSAP26"	0	0	0	0	0
"B3GNT2"	3342	1366	810	425	1076
"MIR5192"	4097	8266	5328	2781	7395
"RN7SL51P"	119	0	53	0	0
"RN7SL18P"	0	0	0	21	0
"TMEM17"	5	0	3	6	3
"PSAT1P2"	0	9	0	0	0
"RSL24D1P2"	0	25	20	16	0
"EHBP1"	9	4	9	10	8
"OTX1"	6	3	1	0	1
"DBIL5P2"	20	10	35	32	47
"WDPCP"	4	6	7	7	6
"MDH1"	822	420	212	272	246
"RPS4XP5"	0	11	9	23	4
"HNRNPA1P66"	0	0	0	13	8
"UGP2"	258	83	112	228	112
"VPS54"	58	41	56	48	46
"PELI1"	785	641	611	91	121
"LINC00309"	0	0	4	0	1
"MIR4433B"	0	0	0	0	0
"MIR4433A"	0	0	189	0	0
"RPL23AP37"	0	351	110	78	104
"LGALSL-DT"	6	4	0	0	6
"LGALSL"	25	39	6	9	46
"LINC01805"	0	0	0	0	0
"AFTPH"	139	246	163	137	103
"MIR4434"	9126	3528	3205	2492	2851
"RNU6-100P"	161	1223	288	117	289
"LINC02579"	0	0	1	0	0
"SERTAD2"	163	123	126	79	56
"RN7SL341P"	0	0	0	0	0
"LINC01800"	29	0	10	0	10
"LINC02245"	4	6	5	6	7
"RN7SL211P"	0	0	0	0	0
"SLC1A4"	146	270	238	53	152
"RNU6-548P"	743	321	996	0	433
"LINC02576"	1	6	5	0	0
"CEP68"	411	226	526	305	221
"RAB1A"	362	477	312	198	157
"ACTR2"	1872	715	825	1184	677
"SPRED2"	24	107	14	5	23
"RN7SL635P"	0	0	0	0	0
"VTRNA2-2P"	0	0	74	0	0
"KRT18P33"	0	0	0	0	3
"MIR4778"	0	0	0	0	96
"LINC01873"	0	0	0	0	0
"MEIS1-AS3"	0	0	0	0	0
"MEIS1"	0	1	3	1	1
"MEIS1-AS2"	0	1	7	0	0
"LINC01798"	0	0	0	0	0
"LINC01797"	2	0	1	0	1
"LINC01799"	0	0	0	0	0
"LINC01628"	0	0	0	0	7
"LINC01828"	0	0	0	0	0
"LINC01829"	0	0	0	0	0
"ETAA1"	319	385	296	246	282
"LINC01812"	0	0	1	0	0
"C1D"	75	62	32	41	28
"PPIAP64"	0	0	0	0	0
"PNO1"	192	149	145	130	128
"PPP3R1"	149	214	75	69	58
"CNRIP1"	2	1	1	0	1
"PLEK"	687	181	271	111	83
"FBXO48"	27	20	50	43	41
"APLF"	5	5	6	10	7
"PROKR1"	0	0	1	0	1
"ARHGAP25"	68	41	90	84	39
"LINC01890"	1	1	1	0	1
"LINC01888"	14	20	31	17	19
"BMP10"	4	0	2	0	0
"GKN3P"	6	0	0	0	0
"GKN2"	0	2	0	0	1
"GKN1"	0	1	0	0	0
"ANTXR1"	0	0	0	0	0
"MIR3126"	0	0	0	0	0
"RNA5SP96"	0	86	0	0	0
"RNU6-1216P"	0	0	0	0	0
"GFPT1"	175	287	134	166	110
"NFU1"	50	30	37	27	25
"AAK1"	149	137	206	38	123
"RN7SL604P"	0	0	0	0	0
"SNORA36C"	517	630	0	47	232
"B3GALNT1P1"	0	0	0	3	0
"ANXA4"	14	3	20	9	6
"GMCL1"	54	60	52	83	103
"RPL23AP92"	0	72	0	0	29
"SNRNP27"	246	260	166	245	179
"MXD1"	202	298	174	53	76
"ASPRV1"	120	160	176	176	207
"PCBP1-AS1"	76	50	62	76	42
"RN7SL470P"	262	106	293	71	103
"PCBP1"	9014	6686	4472	5325	5518
"LINC01816"	1	3	3	6	6
"C2orf42"	10	13	17	17	13
"TIA1"	416	367	460	549	325
"MIR1285-2"	0	105	0	0	43
"PCYOX1"	71	38	44	76	58
"SNRPG"	449	317	318	346	267
"FAM136A"	1213	424	205	418	360
"BRD7P6"	11	0	0	2	1
"TGFA"	0	0	1	1	1
"TGFA-IT1"	0	0	6	5	6
"ADD2"	8	5	7	1	8
"FIGLA"	0	0	0	0	0
"HMGN2P21"	0	34	0	22	42
"CLEC4F"	0	0	0	1	3
"CD207"	0	1	0	0	0
"LINC01143"	8	4	3	0	1
"VAX2"	0	0	0	0	0
"ATP6V1B1"	0	0	0	0	0
"ATP6V1B1-AS1"	0	0	0	0	0
"ELOCP21"	0	0	0	0	22
"RN7SL160P"	0	0	53	0	0
"TEX261"	137	95	67	118	101
"ANKRD53"	2	2	6	5	5
"OR7E46P"	0	0	0	0	0
"OR7E62P"	0	0	0	0	0
"NAGK"	398	417	555	393	248
"MCEE"	30	21	28	20	20
"MPHOSPH10"	196	212	100	122	96
"PAIP2B"	3	3	10	1	8
"ZNF638"	123	95	252	203	163
"RNU6-105P"	0	0	0	0	0
"DYSF"	15	21	58	5	6
"RPS20P10"	134	291	0	146	120
"CYP26B1"	0	5	1	0	1
"EXOC6B"	0	0	5	1	0
"RNU2-39P"	0	0	0	0	19
"SPR"	21	0	0	1	40
"EMX1"	0	0	0	0	0
"SFXN5"	8	18	24	35	25
"RAB11FIP5"	0	11	23	48	29
"NOTO"	0	0	0	0	0
"SMYD5"	215	181	167	199	152
"PRADC1"	142	87	55	89	79
"CCT7"	1760	603	327	685	562
"FBXO41"	292	154	163	196	156
"EGR4"	0	3	5	0	15
"RNU6-111P"	0	88	0	0	0
"RPSAP28"	19	0	8	0	4
"ALMS1"	55	103	128	93	73
"ALMS1-IT1"	187	752	342	224	282
"NAT8"	0	0	0	0	0
"NAT8B"	0	0	0	0	0
"TPRKB"	412	307	111	182	156
"DUSP11"	199	259	139	155	76
"C2orf78"	0	0	0	0	0
"STAMBP"	88	45	77	90	55
"ACTG2"	0	0	1	0	1
"DGUOK"	92	34	60	75	47
"DGUOK-AS1"	2	0	1	0	0
"RNA5SP97"	0	0	0	0	0
"TET3"	95	377	191	132	155
"FNBP1P1"	126	310	80	218	214
"BOLA3"	92	111	30	33	35
"MOB1A"	2770	3501	1629	2402	1698
"MTHFD2"	161	90	57	34	79
"SLC4A5"	0	1	3	4	2
"KRT18P26"	0	7	59	14	47
"RNU6-542P"	0	0	0	0	0
"NECAP1P2"	0	0	0	0	0
"TAF13P2"	0	0	0	0	0
"DCTN1"	579	403	396	436	378
"DCTN1-AS1"	2	1	3	0	1
"C2orf81"	0	1	1	4	0
"HMGA1P8"	52	57	23	38	11
"WDR54"	332	213	135	245	203
"RTKN"	65	19	77	81	29
"INO80B"	29	12	50	32	29
"INO80B-WBP1"	0	0	0	0	0
"WBP1"	258	338	222	341	242
"MOGS"	1226	998	809	1379	800
"MRPL53"	0	0	0	0	0
"CCDC142"	100	66	129	117	137
"TTC31"	222	168	172	181	124
"LBX2"	8	3	5	0	1
"LBX2-AS1"	33	83	59	17	31
"PCGF1"	600	1023	231	139	223
"TLX2"	4	0	10	1	5
"DQX1"	4	21	9	4	3
"AUP1"	5919	6173	4088	2990	4355
"HTRA2"	763	1016	776	1055	724
"LOXL3"	7	6	5	5	1
"DOK1"	31	47	89	90	68
"M1AP"	0	0	0	0	0
"TVP23BP2"	27	0	12	0	0
"SEMA4F"	2	5	25	1	16
"HK2"	333	82	60	78	68
"LINC01291"	0	0	0	0	1
"LINC01293"	7	0	0	0	0
"POLE4"	255	91	76	135	62
"TACR1"	0	0	0	0	0
"MIR5000"	0	0	148	0	37
"GAPDHP57"	0	0	0	0	0
"EVA1A"	0	0	0	0	0
"MRPL19"	133	54	53	76	60
"SUPT4H1P1"	0	27	0	0	22
"GCFC2"	118	44	42	62	31
"SUCLA2P2"	0	0	5	4	0
"RN7SKP203"	13313	41159	32591	53877	23031
"RN7SKP164"	0	0	0	0	0
"LRRTM4"	0	0	0	0	0
"RNA5SP98"	0	0	0	0	0
"LINC01851"	0	0	3	0	0
"CYCSP6"	0	0	0	0	12
"RNU6-827P"	0	0	0	0	0
"RNU6-812P"	0	0	0	0	0
"REG3G"	6	0	5	2	1
"REG1B"	0	15	2	0	0
"REG1A"	5	18	2	2	0
"REG1CP"	0	0	0	0	1
"REG3A"	6	0	0	0	2
"CTNNA2"	0	0	0	0	0
"RNU6-561P"	0	0	0	0	0
"MIR4264"	0	0	0	0	0
"MIR8080"	0	0	0	0	0
"LRRTM1"	0	0	0	0	0
"LINC01815"	0	0	1	0	0
"RNA5SP99"	0	0	0	0	0
"RN7SL201P"	0	0	0	0	0
"LYARP1"	0	0	0	0	5
"RNU6-685P"	0	0	80	0	0
"MTND4P25"	0	0	0	0	0
"MTND5P27"	0	5	0	0	0
"MTND6P7"	0	0	0	11	0
"MTCYBP7"	0	0	0	0	3
"DHFRP3"	0	0	0	0	0
"LINC01809"	0	0	0	0	0
"RPL37P10"	0	0	0	0	0
"RNU6-1312P"	0	0	0	0	0
"ST6GALNAC2P1"	0	0	0	0	0
"FUNDC2P2"	0	0	0	0	0
"SUCLG1"	376	300	125	125	90
"DNAH6"	0	0	1	3	3
"DUXAP1"	0	0	16	26	32
"LDHAP7"	0	28	0	12	3
"TRABD2A"	1	7	20	11	9
"RPL12P18"	0	0	0	0	23
"TMSB10"	130950	111935	72115	74134	45964
"KCMF1"	97	250	104	72	68
"LINC01964"	0	0	1	0	1
"LSM3P3"	0	0	0	20	37
"TCF7L1"	0	0	0	0	0
"TCF7L1-IT1"	0	0	0	14	4
"RNU6-674P"	0	0	0	58	0
"TGOLN2"	4519	5609	3518	2437	3328
"PEBP1P2"	121	362	40	11	13
"RETSAT"	320	412	209	171	120
"ELMOD3"	98	38	70	75	56
"RN7SL113P"	227	215	254	124	89
"CAPG"	338	81	341	203	171
"SH2D6"	0	0	0	0	0
"RN7SL251P"	0	0	0	0	12
"RPSAP22"	0	0	0	0	0
"PARTICL"	346	368	321	369	296
"MAT2A"	4838	7685	4629	3276	2446
"GGCX"	218	304	209	135	149
"VAMP8"	301	111	98	253	158
"RN7SL126P"	0	30	0	0	12
"VAMP5"	86	104	62	218	103
"RNF181"	2162	1605	951	1684	743
"TMEM150A"	116	230	86	102	49
"USP39"	259	311	147	146	156
"C2orf68"	853	523	625	1288	562
"SFTPB"	0	0	0	0	0
"GNLY"	12	134	55	103	84
"RNU1-38P"	0	64	0	0	26
"ATOH8"	0	1	2	0	1
"MIR6071"	0	0	0	0	0
"RN7SKP83"	0	103	42	0	0
"ST3GAL5"	46	78	98	57	52
"ST3GAL5-AS1"	68	55	91	83	17
"POLR1A"	113	136	120	92	143
"PTCD3"	551	644	494	431	428
"SNORD94"	42871	44320	46847	63271	34667
"IMMT"	280	202	102	122	118
"MIR4779"	206	783	184	75	46
"MRPL35"	118	103	47	67	47
"REEP1"	0	0	0	0	1
"KDM3A"	850	1217	601	471	442
"CHMP3"	65	73	62	54	33
"RNF103-CHMP3"	0	0	0	0	1
"RNU6-640P"	0	264	291	0	36
"RNF103"	700	1299	567	789	416
"RMND5A"	633	1140	376	375	765
"CD8A"	6	48	31	39	23
"CD8B"	0	4	13	14	7
"ANAPC1P1"	0	1	1	2	1
"RGPD1"	0	0	0	4	0
"NDUFB4P5"	0	0	0	0	31
"PLGLB1"	7	19	23	10	32
"MIR4771-1"	0	0	0	0	52
"LINC01955"	0	0	0	0	0
"IGKV3OR2-268"	0	0	0	0	0
"LINC01943"	0	0	0	0	1
"CYTOR"	1	3	1	0	2
"MIR4435-1"	0	0	0	0	0
"PLGLB2"	5	0	3	10	7
"RGPD2"	1	1	4	21	0
"MTATP8P2"	0	91	0	61	0
"NDUFB4P7"	0	0	0	0	0
"RNU2-63P"	14929	13642	15504	42346	17691
"KRCC1"	60	13	45	101	50
"SMYD1"	0	0	0	0	0
"MIR4780"	0	0	0	0	0
"FABP1"	3	0	1	1	2
"THNSL2"	0	0	4	1	4
"MRPL45P1"	18	0	0	0	4
"RNU6-1168P"	0	0	0	0	0
"RNU6-1007P"	0	0	0	0	0
"FOXI3"	0	0	1	0	0
"TEX37"	0	0	4	0	0
"EIF2AK3"	440	1180	704	383	407
"EIF2AK3-DT"	106	449	647	761	792
"RPIA"	41	35	35	31	60
"MIR4436A"	0	0	0	0	0
"IGKC"	1493	29210	11320	11517	24845
"IGKJ5"	458	743	2047	2002	11715
"IGKJ4"	0	0	2104	514	6970
"IGKJ3"	0	991	1842	166	8323
"IGKJ2"	0	0	0	0	0
"IGKJ1"	458	991	1842	500	14900
"IGKV4-1"	0	1249	611	506	739
"IGKV5-2"	0	33	41	67	34
"IGKV7-3"	0	0	229	0	25
"PGBD4P5"	0	0	71	0	0
"IGKV2-4"	0	0	21	0	0
"IGKV1-5"	77	1762	600	799	625
"IGKV1-6"	0	254	120	232	60
"IGKV3-7"	0	0	0	0	31
"IGKV1-8"	0	0	72	23	415
"IGKV1-9"	0	223	14	231	142
"IGKV2-10"	0	0	0	0	5
"IGKV3-11"	60	851	892	617	821
"IGKV1-12"	32	369	87	225	182
"IGKV1-13"	0	38	0	0	8
"IGKV2-14"	0	0	0	0	0
"IGKV3-15"	0	345	198	161	205
"IGKV1-16"	0	347	60	233	143
"IGKV1-17"	0	109	90	49	295
"IGKV2-18"	0	0	0	0	15
"IGKV2-19"	0	0	0	0	67
"IGKV3-20"	115	2207	1228	1137	1180
"IGKV6-21"	27	0	73	30	37
"IGKV1-22"	0	0	156	98	365
"IGKV2-23"	0	0	271	81	601
"IGKV2-24"	20	66	81	59	827
"IGKV3-25"	0	0	0	0	0
"IGKV2-26"	0	0	20	92	46
"IGKV1-27"	0	327	225	183	255
"IGKV2-28"	0	12	69	8	54
"IGKV2-29"	0	12	112	83	82
"IGKV2-30"	1226	157	111	22	102
"IGKV3-31"	0	0	0	0	0
"IGKV1-32"	0	0	0	0	0
"IGKV1-33"	0	18	0	12	15
"IGKV3-34"	0	0	0	0	7
"IGKV1-35"	0	0	0	0	0
"IGKV2-36"	0	0	34	0	0
"IGKV1-37"	0	0	14	0	0
"IGKV2-38"	0	0	0	0	0
"IGKV1-39"	0	70	14	47	21
"IGKV2-40"	0	0	0	19	0
"IGKV2D-40"	0	78	43	17	0
"IGKV1D-39"	0	91	0	24	30
"IGKV2D-38"	0	0	0	0	0
"IGKV1D-37"	0	0	0	0	0
"IGKV2D-36"	0	0	0	0	0
"IGKV1D-35"	0	0	0	0	0
"IGKV3D-34"	0	0	0	0	0
"IGKV1D-33"	0	48	0	0	6
"IGKV1D-32"	0	0	0	0	0
"IGKV3D-31"	0	0	0	0	0
"IGKV2D-30"	20	0	18	15	13
"IGKV2D-29"	0	72	40	24	60
"IGKV2D-28"	0	23	29	56	14
"IGKV1D-27"	36	0	0	0	8
"IGKV2D-26"	0	0	38	0	0
"IGKV3D-25"	0	0	0	0	0
"IGKV2D-24"	0	11	0	0	50
"IGKV2D-23"	0	0	14	11	43
"IGKV1D-22"	0	0	0	13	8
"IGKV6D-21"	0	0	12	29	6
"IGKV3D-20"	0	87	24	19	24
"IGKV2D-19"	0	35	0	0	29
"IGKV2D-18"	0	0	9	0	0
"IGKV6D-41"	0	0	0	0	0
"IGKV1D-17"	0	0	0	18	0
"IGKV1D-16"	0	73	30	24	45
"IGKV3D-15"	0	81	0	0	20
"IGKV2D-14"	0	0	29	15	0
"IGKV1D-13"	0	109	0	73	15
"IGKV1D-12"	0	37	0	12	7
"IGKV3D-11"	0	29	24	10	6
"IGKV2D-10"	0	0	0	8	0
"IGKV1D-42"	0	0	0	12	0
"IGKV1D-43"	0	13	11	0	86
"IGKV1D-8"	2863	0	207	122	109
"IGKV3D-7"	0	0	0	0	13
"IGKV1OR2-118"	0	0	16	0	0
"LSP1P4"	1	0	3	3	1
"RNA5SP100"	0	0	69	0	0
"DRD5P1"	0	0	0	4	0
"GGT8P"	0	0	1	0	0
"IGKV1OR2-1"	0	0	0	0	0
"ABCD1P5"	0	0	0	0	0
"PABPC1P6"	0	0	6	0	5
"SLC9B1P2"	0	0	0	0	0
"ACTR3BP2"	12	6	5	0	0
"CHEK2P3"	0	0	0	0	1
"IGKV1OR2-2"	0	0	0	0	0
"CNN2P11"	0	0	0	0	0
"CNN2P8"	0	0	0	0	0
"CYP4F32P"	0	0	0	0	0
"SNX18P14"	0	0	0	0	0
"ANKRD20A8P"	0	0	0	0	0
"RNU6-1320P"	0	0	71	0	0
"TEKT4"	0	0	2	0	0
"MTCO1P48"	0	8	6	0	3
"MTCO3P45"	0	0	0	0	0
"RPS24P6"	0	0	0	0	0
"RN7SL575P"	0	0	0	0	12
"MAL"	2	7	7	8	103
"MRPS5"	191	168	119	181	153
"ZNF514"	95	14	89	163	51
"ZNF2"	4	1	6	15	12
"SLC2AXP1"	0	0	8	6	0
"PROM2"	2	4	4	5	17
"KCNIP3"	0	0	0	0	0
"FABP7P2"	0	0	0	0	20
"FAHD2A"	148	177	148	165	106
"UBTFL5"	0	0	0	0	0
"TRIM43B"	0	0	0	0	0
"TRIM64FP"	0	0	1	1	0
"OR7E102P"	0	0	0	6	3
"TRIM51JP"	0	1	1	1	0
"TRIM43"	4	0	0	0	0
"UBTFL3"	0	0	0	0	0
"GPAT2P1"	0	0	0	0	0
"LINC00342"	290	339	442	307	419
"ANKRD36C"	151	210	131	111	122
"RN7SL210P"	0	0	0	0	0
"FAHD2CP"	34	62	38	54	60
"GPAT2"	0	0	4	0	0
"ADRA2B"	4	561	24	0	2
"ASTL"	9	386	22	1	3
"DUSP2"	1500	10959	2004	970	748
"STARD7"	808	1023	452	646	589
"STARD7-AS1"	31	24	34	35	23
"TMEM127"	628	1581	636	378	392
"CIAO1"	1364	1686	1158	1242	1023
"SNRNP200"	1170	2611	1313	1070	1408
"ITPRIPL1"	306	194	166	226	294
"NCAPH"	95	103	34	44	123
"NEURL3"	1	1	0	0	1
"ARID5A"	1243	5051	2758	530	1868
"KANSL3"	263	438	206	203	254
"FER1L5"	0	0	0	0	0
"LMAN2L"	19	9	28	32	39
"CNNM4"	48	122	75	37	62
"MIR3127"	0	366	606	493	354
"CNNM3-DT"	0	12	80	165	48
"CNNM3"	133	97	189	170	279
"ANKRD23"	6	3	12	6	18
"ANKRD39"	30	11	21	7	25
"SEMA4C"	147	20	26	46	720
"FAM178B"	0	0	0	0	0
"RNA5SP101"	0	0	0	0	0
"TRIM43CP"	0	0	1	0	2
"IGKV2OR2-1"	0	0	25	0	25
"IGKV2OR2-2"	0	0	0	0	12
"IGKV1OR2-3"	0	0	0	0	0
"GPAT2P2"	0	0	0	0	0
"FAHD2B"	60	17	6	52	36
"RN7SL313P"	0	0	0	0	13
"ANKRD36"	129	79	103	97	137
"IGKV1OR2-9"	0	0	0	0	0
"IGKV2OR2-10"	0	0	0	0	0
"IGKV2OR2-7D"	0	0	0	0	0
"IGKV3OR2-5"	0	0	0	0	0
"IGKV1OR2-6"	0	0	0	0	13
"IGKV2OR2-7"	0	0	0	0	0
"IGKV2OR2-8"	0	0	0	0	0
"IGKV1OR2-11"	0	0	0	0	0
"ANKRD36B"	71	80	102	86	128
"UBTFL6"	16	44	0	0	14
"COX5B"	4527	2616	1312	2114	1631
"ACTR1B"	953	1066	628	805	795
"C2orf92"	11	32	20	28	30
"RNU4-8P"	0	0	0	0	0
"ZAP70"	103	684	728	225	1285
"TMEM131"	47	41	112	65	68
"HMGN1P36"	171	0	25	0	12
"RNU7-96P"	807	2475	2284	1567	1448
"VWA3B"	0	0	0	0	0
"ATP5F1BP1"	0	0	4	3	0
"CNGA3"	0	0	0	0	0
"INPP4A"	49	20	92	38	57
"COA5"	344	132	217	376	140
"UNC50"	245	250	157	262	120
"MGAT4A"	159	67	151	84	35
"YWHAQP5"	0	0	10	0	0
"LINC02611"	60	31	45	2	5
"RNU4-84P"	0	0	0	0	0
"RNU7-46P"	0	0	0	0	0
"TSGA10"	1	1	3	1	3
"C2orf15"	11	0	0	1	1
"LIPT1"	80	36	60	86	61
"MITD1"	77	28	64	88	63
"MRPL30"	278	93	93	120	83
"LYG2"	0	0	1	0	1
"LYG1"	9	6	18	20	28
"TXNDC9"	149	104	45	70	60
"EIF5B"	139	203	105	67	106
"REV1"	69	81	76	94	71
"AFF3"	24	20	99	24	112
"LINC01104"	0	0	0	0	0
"LONRF2"	0	0	1	0	0
"CHST10"	50	121	31	59	42
"NMS"	2	0	0	0	0
"PDCL3"	171	195	82	86	68
"HMGN2P22"	0	0	0	0	0
"LINC01849"	0	0	0	0	0
"NANOGNBP1"	0	0	15	0	7
"LINC01868"	0	0	0	0	0
"NPAS2"	0	8	1	0	0
"RPL31"	9387	7833	1628	2887	1718
"TBC1D8"	11	1	7	2	7
"BBIP1P1"	0	0	0	0	13
"TBC1D8-AS1"	4	0	16	4	14
"CNOT11"	381	380	224	248	285
"RNF149"	321	505	446	401	178
"SNORD89"	16649	5764	8246	6719	5215
